t0_date,p0_date,event,duration_days,potential_followup_days,p1_date
2018-01-09,2017-12-21,0,280.952164,280.952164,
2017-05-10,2017-04-15,0,525.195949,525.195949,
2018-04-16,2018-04-09,0,183.926123,183.926123,
2017-12-05,2017-11-26,0,315.93441,315.93441,
2017-12-08,2017-11-29,0,313.057859,313.057859,
2018-02-23,2018-02-03,0,235.974769,235.974769,
2017-10-02,2017-09-26,0,380.095787,380.095787,
2018-01-19,2018-01-01,0,271.726227,271.726227,
2018-01-27,2018-01-06,0,263.047037,263.047037,
2017-05-06,2017-04-05,0,529.41015,529.41015,
2018-02-15,2018-01-30,0,243.988889,243.988889,
2018-04-06,2018-03-21,0,193.943472,193.943472,
2017-07-21,2017-07-19,0,452.877002,452.877002,
2017-03-02,2017-02-16,0,594.09103,594.09103,
2018-04-02,2018-03-10,0,197.785833,197.785833,
2017-08-29,2017-08-23,0,414.214155,414.214155,
2017-02-14,2017-01-26,0,610.163345,610.163345,
2017-06-09,2017-05-31,0,495.273275,495.273275,
2017-12-07,2017-11-29,0,313.730822,313.730822,
2017-09-20,2017-09-12,0,391.869606,391.869606,
2017-08-17,2017-08-02,0,426.29684,426.29684,
2018-02-16,2018-02-04,0,242.917049,242.917049,
2017-07-03,2017-06-23,0,471.456042,471.456042,
2017-11-23,2017-11-21,0,327.994074,327.994074,
2017-06-26,2017-06-12,0,478.17125,478.17125,
2017-12-06,2017-11-27,0,314.972627,314.972627,
2017-04-11,2017-03-29,0,554.056516,554.056516,
2017-07-05,2017-06-21,0,469.095822,469.095822,
2017-03-22,2017-03-14,0,574.315741,574.315741,
2017-08-07,2017-07-28,0,435.909977,435.909977,
2018-03-05,2018-02-12,0,226.075475,226.075475,
2017-09-30,2017-09-16,0,382.153079,382.153079,
2017-11-30,2017-11-27,0,320.731435,320.731435,
2018-01-11,2017-12-31,0,278.844306,278.844306,
2017-04-26,2017-04-17,0,539.164977,539.164977,
2018-04-05,2018-04-04,0,194.868449,194.868449,
2017-07-13,2017-06-19,0,460.933032,460.933032,
2018-01-08,2017-12-27,0,282.083403,282.083403,
2017-12-01,2017-11-29,0,320.008958,320.008958,
2017-03-15,2017-03-01,0,581.04331,581.04331,
2018-03-02,2018-02-10,0,229.141134,229.141134,
2017-07-24,2017-07-06,0,449.956644,449.956644,
2018-01-04,2017-12-29,0,285.869259,285.869259,
2017-04-20,2017-04-12,0,545.316644,545.316644,
2018-03-26,2018-03-20,0,205.138634,205.138634,
2018-04-17,2018-02-15,0,183.693194,183.693194,
2018-04-05,2018-04-03,0,194.904051,194.904051,
2017-12-05,2017-12-02,0,315.90066,315.90066,
2017-12-20,2017-11-27,0,301.067905,301.067905,
2017-05-09,2017-04-28,0,526.127234,526.127234,
2017-03-30,2017-03-28,0,566.153785,566.153785,
2017-11-14,2017-11-07,0,336.912072,336.912072,
2017-10-05,2017-09-13,0,377.11603,377.11603,
2018-02-10,2018-01-09,0,249.574861,249.574861,
2017-08-10,2017-07-29,0,432.856493,432.856493,
2017-12-18,2017-12-08,0,302.954965,302.954965,
2018-01-29,2018-01-19,0,260.873519,260.873519,
2017-11-27,2017-11-23,0,323.938472,323.938472,
2018-03-05,2018-02-23,0,225.780359,225.780359,
2018-04-14,2018-04-03,0,185.939178,185.939178,
2017-10-23,2017-10-11,0,358.907176,358.907176,
2017-12-07,2017-11-26,0,314.305324,314.305324,
2017-06-22,2017-06-15,0,482.077847,482.077847,
2018-03-29,2018-03-20,0,201.876111,201.876111,
2017-07-31,2017-07-11,0,443.24706,443.24706,
2018-01-22,2018-01-14,0,267.898264,267.898264,
2017-11-13,2017-10-29,0,337.875127,337.875127,
2018-03-22,2018-03-11,0,209.152419,209.152419,
2018-02-08,2018-02-05,0,251.014838,251.014838,
2017-11-25,2017-11-21,0,326.089688,326.089688,
2017-12-23,2017-11-24,0,298.105243,298.105243,
2017-12-13,2017-11-17,0,308.056933,308.056933,
2018-01-08,2017-12-28,0,281.835081,281.835081,
2017-03-28,2017-03-16,0,568.09316,568.09316,
2018-03-17,2018-03-01,0,214.10206,214.10206,
2017-12-05,2017-11-29,0,315.841319,315.841319,
2017-12-10,2017-11-17,0,310.953657,310.953657,
2018-03-29,2018-03-04,0,202.054039,202.054039,
2017-11-06,2017-10-31,0,344.835775,344.835775,
2017-04-07,2017-03-18,0,558.126273,558.126273,
2017-12-06,2017-12-01,0,314.797002,314.797002,
2017-12-02,2017-11-25,0,319.064803,319.064803,
2017-12-08,2017-10-19,0,312.998438,312.998438,
2018-01-09,2017-12-10,0,280.77169,280.77169,
2017-03-27,2017-03-21,0,569.249988,569.249988,
2017-12-29,2017-12-14,0,291.920637,291.920637,
2017-05-16,2017-04-18,0,519.157292,519.157292,
2017-03-31,2017-03-24,0,565.239954,565.239954,
2017-07-06,2017-06-27,0,468.093183,468.093183,
2017-06-29,2017-06-16,0,475.266447,475.266447,
