customer_state,n,event_rate,repurchase_by_30d,repurchase_by_60d,repurchase_by_90d,repurchase_by_180d,repurchase_by_365d
SP,26097,0.027129555121278306,0.006092654328082481,0.009732919492661751,0.012568494462964819,0.020002299114839417,0.028804131698749735
RJ,8278,0.026576467745832326,0.00543609567528347,0.009422565837158392,0.011355399855036086,0.01799951679149514,0.027360337519694022
RS,3672,0.02423747276688453,0.004357298474944371,0.007352941176470784,0.011165577342047928,0.015522875816992743,0.02572964860977789
MG,7695,0.024171539961013646,0.0064977257959708545,0.010136452241715554,0.011306042884991152,0.017413905133204177,0.02475276377221103
PR,3287,0.022208700943109217,0.004259202920596339,0.006388804380894508,0.009126863401276886,0.014602981442043528,0.024193570850231327
SC,2455,0.021588594704684317,0.004887983706720944,0.007331975560081694,0.009368635437881356,0.01384928716904299,0.022924083407400597
